feature,mean_abs_shap_value
M14,7.224926993593188e-05
P13,5.340731480511493e-05
V3,4.228748277407746e-05
M18,4.1809419310242295e-05
M10,4.1592297001137426e-05
V4,3.942429750815803e-05
V2,3.766374335414915e-05
V1,3.6731625070233865e-05
I4,3.6090984902478437e-05
M16,3.3739507944363034e-05
S4,3.35902450972071e-05
E16,3.242287436493488e-05
M2,2.907524137415125e-05
V11,2.7895240728426017e-05
D9,2.7314338821277732e-05
P4,2.5972462529793876e-05
I8,2.5729678220773234e-05
E2,2.5144625248215953e-05
E17,2.4954529090561882e-05
E15,2.4932252854190576e-05
