window,batch,lr,hidden,dropout,r2,rmse,accuracy,dir_accuracy
30,64,0.0005,128,0.2,0.0031290650367736816,0.010596224130948493,47.02970297029702,55.44554455445545
40,64,0.0005,64,0.2,-0.0007702112197875977,0.010616927517452725,50.495049504950494,57.42574257425742
30,64,0.0005,256,0.2,-0.0009900331497192383,0.010618093519771143,47.02970297029702,57.42574257425742
20,32,0.001,256,0.3,-0.002535104751586914,0.010626285162220236,50.0,57.42574257425742
20,32,0.001,64,0.2,-0.0025408267974853516,0.01062631563191352,51.48514851485149,57.42574257425742
30,32,0.001,128,0.3,-0.004653334617614746,0.010637505453580208,47.524752475247524,42.57425742574257
40,64,0.001,128,0.3,-0.005256056785583496,0.010640695451122138,51.48514851485149,57.42574257425742
20,64,0.001,256,0.3,-0.006809115409851074,0.010648912069150142,47.524752475247524,42.57425742574257
20,64,0.0005,128,0.2,-0.006937980651855469,0.010649593597500886,51.48514851485149,57.42574257425742
20,32,0.001,128,0.3,-0.009002685546875,0.010660506458381628,48.01980198019802,42.57425742574257
30,64,0.0005,256,0.3,-0.009526729583740234,0.010663274380665756,48.01980198019802,42.57425742574257
30,64,0.001,64,0.3,-0.010236144065856934,0.01066702044077359,51.98019801980198,57.42574257425742
20,32,0.001,64,0.3,-0.019562602043151855,0.010716145618295514,50.99009900990099,57.42574257425742
30,32,0.0005,256,0.3,-0.022688627243041992,0.010732561439534351,50.99009900990099,57.42574257425742
20,64,0.0005,64,0.2,-0.02465498447418213,0.0107428742861116,46.03960396039604,41.089108910891085
20,32,0.0005,256,0.2,-0.028454303741455078,0.010762772695654146,46.53465346534654,42.57425742574257
20,32,0.0005,64,0.2,-0.02870321273803711,0.010764074650756015,45.04950495049505,42.57425742574257
40,64,0.0005,128,0.3,-0.03756880760192871,0.01081035938634484,49.00990099009901,57.42574257425742
40,32,0.001,128,0.2,-0.037958383560180664,0.010812388454284628,46.53465346534654,42.57425742574257
30,32,0.001,64,0.2,-0.03979754447937012,0.010821963343110311,48.51485148514851,57.42574257425742
20,32,0.0005,256,0.3,-0.05060708522796631,0.010878069608854206,44.05940594059406,42.57425742574257
20,32,0.0001,64,0.2,-0.052255868911743164,0.01088660231464445,48.01980198019802,57.42574257425742
20,64,0.001,128,0.2,-0.06169390678405762,0.01093531593693624,43.06930693069307,42.57425742574257
40,32,0.0005,256,0.3,-0.06659913063049316,0.010960548340759668,42.07920792079208,42.57425742574257
40,32,0.0005,64,0.3,-0.06814146041870117,0.010968470298730163,42.07920792079208,42.57425742574257
30,64,0.0005,128,0.3,-0.07148206233978271,0.010985608540917085,49.504950495049506,57.42574257425742
30,32,0.0005,64,0.2,-0.07325148582458496,0.010994675233644825,42.57425742574257,42.57425742574257
20,64,0.001,64,0.3,-0.08015668392181396,0.0110299882006525,42.07920792079208,42.57425742574257
40,32,0.0005,128,0.3,-0.08113324642181396,0.011034973056504806,43.06930693069307,42.57425742574257
40,32,0.0005,64,0.2,-0.08562052249908447,0.011057850038660257,40.099009900990104,42.57425742574257
40,64,0.001,256,0.3,-0.0937345027923584,0.01109909621805625,49.504950495049506,57.42574257425742
30,64,0.001,256,0.3,-0.09886050224304199,0.01112507521980284,49.00990099009901,57.42574257425742
30,32,0.0005,128,0.3,-0.10438013076782227,0.01115298101713876,40.5940594059406,42.57425742574257
40,32,0.001,128,0.3,-0.10627555847167969,0.011162547949145521,49.00990099009901,57.42574257425742
30,32,0.001,256,0.2,-0.1093980073928833,0.011178290003583377,49.00990099009901,57.42574257425742
20,64,0.0005,128,0.3,-0.11540985107421875,0.01120853614758427,49.00990099009901,57.42574257425742
40,32,0.0005,128,0.2,-0.1235734224319458,0.011249478205113461,48.51485148514851,57.42574257425742
30,64,0.0005,64,0.3,-0.1263132095336914,0.011263186154617652,47.524752475247524,57.42574257425742
30,32,0.0005,128,0.2,-0.13691949844360352,0.011316093527821917,49.00990099009901,57.42574257425742
40,32,0.001,256,0.3,-0.1495199203491211,0.011378628096870467,49.00990099009901,57.42574257425742
20,64,0.001,128,0.3,-0.15940380096435547,0.011427441882840207,37.62376237623762,42.57425742574257
20,32,0.0005,128,0.3,-0.16323065757751465,0.011446285673298336,38.11881188118812,42.57425742574257
40,64,0.0005,128,0.2,-0.17376494407653809,0.011497998748770593,47.02970297029702,57.42574257425742
30,64,0.001,128,0.2,-0.17610251903533936,0.011509441710050132,37.12871287128713,42.57425742574257
30,32,0.001,64,0.3,-0.1772470474243164,0.01151504076823221,44.05940594059406,57.42574257425742
40,64,0.001,256,0.2,-0.1941760778427124,0.01159753921736581,37.12871287128713,42.57425742574257
30,64,0.001,256,0.2,-0.19423997402191162,0.011597849134406809,37.12871287128713,42.57425742574257
20,64,0.0005,256,0.3,-0.2136542797088623,0.011691740321354943,36.633663366336634,42.57425742574257
40,64,0.001,64,0.3,-0.21380162239074707,0.011692450362403621,44.554455445544555,57.42574257425742
40,64,0.0005,64,0.3,-0.228629469871521,0.011763651205480456,40.5940594059406,57.42574257425742
30,32,0.0005,256,0.2,-0.2292577028274536,0.011766658644150314,41.089108910891085,57.42574257425742
20,64,0.0005,256,0.2,-0.23989343643188477,0.011817452511496363,41.089108910891085,57.42574257425742
30,64,0.001,64,0.2,-0.24238550662994385,0.011829322093949275,32.67326732673268,42.57425742574257
20,64,0.001,256,0.2,-0.25177133083343506,0.011873921601054625,41.089108910891085,57.42574257425742
20,64,0.001,64,0.2,-0.27368295192718506,0.011977394347477124,41.584158415841586,57.42574257425742
30,32,0.001,256,0.3,-0.27477383613586426,0.011982522154173138,29.7029702970297,42.57425742574257
40,64,0.0001,256,0.2,-0.31190383434295654,0.01215577510638399,39.603960396039604,57.42574257425742
40,64,0.0005,256,0.3,-0.3324531316757202,0.01225060791184675,39.10891089108911,57.42574257425742
20,32,0.001,256,0.2,-0.3436753749847412,0.01230208877054841,26.732673267326735,42.57425742574257
40,32,0.001,64,0.3,-0.41317737102508545,0.012616241984510395,36.13861386138614,57.42574257425742
20,32,0.0005,128,0.2,-0.41689348220825195,0.012632819105387218,35.64356435643564,57.42574257425742
40,32,0.001,64,0.2,-0.4828221797943115,0.01292338250503016,35.148514851485146,57.42574257425742
40,64,0.001,64,0.2,-0.5141170024871826,0.013059043760309572,33.16831683168317,57.42574257425742
30,32,0.0005,64,0.3,-0.5318303108215332,0.01313520919571972,32.67326732673268,57.42574257425742
40,64,0.001,128,0.2,-0.5374716520309448,0.013159374225006543,24.752475247524753,42.57425742574257
30,64,0.0001,256,0.3,-0.5742161273956299,0.013315695188027539,30.198019801980198,57.42574257425742
20,32,0.001,128,0.2,-0.5924563407897949,0.013392616537943606,21.782178217821784,42.57425742574257
20,32,0.0005,64,0.3,-0.6418516635894775,0.013598738730718384,20.2970297029703,42.57425742574257
40,64,0.0005,256,0.2,-0.6575188636779785,0.013663466562867307,18.316831683168317,42.57425742574257
30,32,0.001,128,0.2,-0.7022937536239624,0.013846784112426097,27.722772277227726,57.42574257425742
30,32,0.0001,64,0.2,-0.9206087589263916,0.014707915433392576,11.386138613861387,42.57425742574257
40,32,0.0001,256,0.2,-1.0098373889923096,0.015045690237201648,20.792079207920793,57.42574257425742
40,32,0.001,256,0.2,-1.0211615562438965,0.01508801791606527,11.881188118811881,42.57425742574257
30,32,0.0001,256,0.3,-1.0938363075256348,0.015356881983754199,10.396039603960396,42.57425742574257
40,32,0.0005,256,0.2,-1.1932637691497803,0.015717270288475485,14.85148514851485,57.42574257425742
20,32,0.0001,128,0.2,-1.2705912590026855,0.015991939826544354,8.91089108910891,42.57425742574257
30,32,0.0001,64,0.3,-1.3868765830993652,0.016396329461831925,13.861386138613863,57.42574257425742
30,64,0.001,128,0.3,-1.5470468997955322,0.016937532508584,9.900990099009901,42.57425742574257
20,32,0.0001,128,0.3,-2.165687084197998,0.01888276841904621,6.435643564356436,57.42574257425742
20,64,0.0001,128,0.2,-2.2154324054718018,0.01903055088765711,9.405940594059405,57.42574257425742
30,64,0.0001,64,0.2,-2.4338982105255127,0.01966642304315836,7.920792079207921,42.57425742574257
30,32,0.0001,128,0.2,-2.8432204723358154,0.02080555542593192,5.445544554455446,57.42574257425742
30,64,0.0001,64,0.3,-3.944544792175293,0.023599066512283943,5.445544554455446,42.57425742574257
40,32,0.0001,64,0.3,-4.356788635253906,0.024563142277225662,2.9702970297029703,42.57425742574257
30,64,0.0005,64,0.2,-5.694004058837891,0.02745836368643169,1.9801980198019802,42.57425742574257
40,32,0.0001,128,0.2,-6.991504192352295,0.03000170420826574,0.49504950495049505,57.42574257425742
20,64,0.0001,256,0.2,-8.564791679382324,0.03282233095205128,0.9900990099009901,57.42574257425742
30,64,0.0001,256,0.2,-9.382124900817871,0.03419595910086974,0.49504950495049505,57.42574257425742
40,64,0.0001,64,0.3,-11.045502662658691,0.036833596390290345,0.9900990099009901,57.42574257425742
40,64,0.0001,256,0.3,-12.60849380493164,0.03915044451267628,1.4851485148514851,42.57425742574257
20,32,0.0001,256,0.2,-13.245672225952148,0.04005651413500783,1.4851485148514851,42.57425742574257
40,32,0.0001,64,0.2,-13.856863021850586,0.04090677303929854,1.4851485148514851,42.57425742574257
40,64,0.0001,128,0.3,-14.554545402526855,0.04185625046860269,1.4851485148514851,42.57425742574257
40,64,0.0001,64,0.2,-15.291204452514648,0.04283593659876646,1.4851485148514851,42.57425742574257
30,32,0.0001,128,0.3,-18.352279663085938,0.04668718950089841,0.0,42.57425742574257
20,32,0.0001,256,0.3,-19.09889030456543,0.04757926303774035,0.0,57.42574257425742
30,64,0.0001,128,0.2,-21.14603614807129,0.049943580684534784,0.0,42.57425742574257
20,32,0.0001,64,0.3,-21.46186637878418,0.0502984474494194,0.0,42.57425742574257
20,64,0.0005,64,0.3,-22.65957260131836,0.051622034963484296,0.0,42.57425742574257
40,32,0.0001,256,0.3,-29.615842819213867,0.05872253332009102,0.0,57.42574257425742
30,32,0.0001,256,0.2,-37.31417465209961,0.06569183910953362,0.0,42.57425742574257
40,64,0.0001,128,0.2,-37.53150177001953,0.06587788104637385,0.0,42.57425742574257
40,32,0.0001,128,0.3,-40.47670364379883,0.06834925508523143,0.0,42.57425742574257
20,64,0.0001,64,0.2,-42.786407470703125,0.07022654723675335,0.0,42.57425742574257
30,64,0.0001,128,0.3,-50.93355941772461,0.07648137986822964,0.0,42.57425742574257
20,64,0.0001,64,0.3,-55.641143798828125,0.07987257406848275,0.0,57.42574257425742
20,64,0.0001,256,0.3,-79.8482666015625,0.09542606595944089,0.0,57.42574257425742
20,64,0.0001,128,0.3,-83.16548156738281,0.09736406006496777,0.0,42.57425742574257
